Flag	Index	Class	DBE	Neutral DBE	Formula	Adduct	Exp m/z	Mono Abund	Total Abund	Calc m/z	mDa Error	ppm Error	Kendrick m/z	KMD	Z Number	#C	#H	#N	#O	#S	H/C	N/C	O/C	S/C
+	 234 	O2	 22.5 	 23.0 	C32H20O2	H	 437.153654 	 126425608.00 	 126425608.00 	 437.153606 	 -0.0477 	 -0.1090 	 436.6655 	 0.3345 	 -44 	 32 	 20 	 0 	 2 	 0 	 0.6250 	 0.0000 	 0.0625 	 0.0000 
+	 235 	O2	 22.5 	 23.0 	C33H22O2	H	 451.169284 	 56269324.00 	 56269324.00 	 451.169256 	 -0.0276 	 -0.0612 	 450.6655 	 0.3345 	 -44 	 33 	 22 	 0 	 2 	 0 	 0.6667 	 0.0000 	 0.0606 	 0.0000 
+	 236 	O2	 23.5 	 24.0 	C30H14O2	H	 407.106744 	 532517856.00 	 671000656.00 	 407.106656 	 -0.0879 	 -0.2158 	 406.6522 	 0.3478 	 -46 	 30 	 14 	 0 	 2 	 0 	 0.4667 	 0.0000 	 0.0667 	 0.0000 
+	 237 	O2	 23.5 	 24.0 	C31H16O2	H	 421.122353 	 142743776.00 	 142743776.00 	 421.122306 	 -0.0468 	 -0.1111 	 420.6521 	 0.3479 	 -46 	 31 	 16 	 0 	 2 	 0 	 0.5161 	 0.0000 	 0.0645 	 0.0000 
+	 238 	O2	 23.5 	 24.0 	C32H18O2	H	 435.138017 	 235706896.00 	 308212760.00 	 435.137956 	 -0.0607 	 -0.1396 	 434.6521 	 0.3479 	 -46 	 32 	 18 	 0 	 2 	 0 	 0.5625 	 0.0000 	 0.0625 	 0.0000 
+	 239 	O2	 23.5 	 24.0 	C33H20O2	H	 449.153647 	 150641152.00 	 150641152.00 	 449.153606 	 -0.0407 	 -0.0905 	 448.6521 	 0.3479 	 -46 	 33 	 20 	 0 	 2 	 0 	 0.6061 	 0.0000 	 0.0606 	 0.0000 
+	 240 	O2	 23.5 	 24.0 	C34H22O2	H	 463.169316 	 72686424.00 	 72686424.00 	 463.169256 	 -0.0596 	 -0.1287 	 462.6521 	 0.3479 	 -46 	 34 	 22 	 0 	 2 	 0 	 0.6471 	 0.0000 	 0.0588 	 0.0000 
+	 241 	O2	 24.5 	 25.0 	C30H12O2	H	 405.091077 	 201298608.00 	 257172992.00 	 405.091006 	 -0.0709 	 -0.1751 	 404.6387 	 0.3613 	 -48 	 30 	 12 	 0 	 2 	 0 	 0.4000 	 0.0000 	 0.0667 	 0.0000 
+	 242 	O2	 24.5 	 25.0 	C31H14O2	H	 419.106710 	 85694576.00 	 85694576.00 	 419.106656 	 -0.0539 	 -0.1285 	 418.6387 	 0.3613 	 -48 	 31 	 14 	 0 	 2 	 0 	 0.4516 	 0.0000 	 0.0645 	 0.0000 
+	 243 	O2	 24.5 	 25.0 	C32H16O2	H	 433.122381 	 237148672.00 	 311768072.00 	 433.122306 	 -0.0748 	 -0.1727 	 432.6388 	 0.3612 	 -48 	 32 	 16 	 0 	 2 	 0 	 0.5000 	 0.0000 	 0.0625 	 0.0000 
+	 244 	O2	 24.5 	 25.0 	C33H18O2	H	 447.137997 	 189635072.00 	 249771004.00 	 447.137956 	 -0.0407 	 -0.0911 	 446.6387 	 0.3613 	 -48 	 33 	 18 	 0 	 2 	 0 	 0.5455 	 0.0000 	 0.0606 	 0.0000 
+	 245 	O2	 24.5 	 25.0 	C34H20O2	H	 461.153670 	 170957552.00 	 224769556.00 	 461.153606 	 -0.0637 	 -0.1380 	 460.6387 	 0.3613 	 -48 	 34 	 20 	 0 	 2 	 0 	 0.5882 	 0.0000 	 0.0588 	 0.0000 
+	 246 	O2	 24.5 	 25.0 	C35H22O2	H	 475.169312 	 80879472.00 	 80879472.00 	 475.169256 	 -0.0556 	 -0.1170 	 474.6387 	 0.3613 	 -48 	 35 	 22 	 0 	 2 	 0 	 0.6286 	 0.0000 	 0.0571 	 0.0000 
+	 247 	O2	 25.5 	 26.0 	C32H14O2	H	 431.106740 	 498047488.00 	 645772288.00 	 431.106656 	 -0.0839 	 -0.1945 	 430.6254 	 0.3746 	 -50 	 32 	 14 	 0 	 2 	 0 	 0.4375 	 0.0000 	 0.0625 	 0.0000 
+	 248 	O2	 25.5 	 26.0 	C33H16O2	H	 445.122321 	 120658424.00 	 120658424.00 	 445.122306 	 -0.0148 	 -0.0332 	 444.6253 	 0.3747 	 -50 	 33 	 16 	 0 	 2 	 0 	 0.4848 	 0.0000 	 0.0606 	 0.0000 
+	 249 	O2	 25.5 	 26.0 	C34H18O2	H	 459.138084 	 254122656.00 	 331593072.00 	 459.137956 	 -0.1277 	 -0.2782 	 458.6254 	 0.3746 	 -50 	 34 	 18 	 0 	 2 	 0 	 0.5294 	 0.0000 	 0.0588 	 0.0000 
+	 250 	O2	 25.5 	 26.0 	C35H20O2	H	 473.153649 	 153034384.00 	 153034384.00 	 473.153606 	 -0.0427 	 -0.0902 	 472.6253 	 0.3747 	 -50 	 35 	 20 	 0 	 2 	 0 	 0.5714 	 0.0000 	 0.0571 	 0.0000 
+	 251 	O2	 25.5 	 26.0 	C36H22O2	H	 487.169338 	 81651328.00 	 81651328.00 	 487.169256 	 -0.0816 	 -0.1675 	 486.6254 	 0.3746 	 -50 	 36 	 22 	 0 	 2 	 0 	 0.6111 	 0.0000 	 0.0556 	 0.0000 
+	 252 	O2	 27.5 	 28.0 	C34H14O2	H	 455.106752 	 270965312.00 	 349123728.00 	 455.106656 	 -0.0959 	 -0.2106 	 454.5986 	 0.4014 	 -54 	 34 	 14 	 0 	 2 	 0 	 0.4118 	 0.0000 	 0.0588 	 0.0000 
+	 253 	O2	 27.5 	 28.0 	C35H16O2	H	 469.122420 	 89562360.00 	 89562360.00 	 469.122306 	 -0.1138 	 -0.2426 	 468.5986 	 0.4014 	 -54 	 35 	 16 	 0 	 2 	 0 	 0.4571 	 0.0000 	 0.0571 	 0.0000 
+	 254 	O2	 27.5 	 28.0 	C36H18O2	H	 483.138054 	 220177376.00 	 293783648.00 	 483.137956 	 -0.0977 	 -0.2023 	 482.5986 	 0.4014 	 -54 	 36 	 18 	 0 	 2 	 0 	 0.5000 	 0.0000 	 0.0556 	 0.0000 
+	 255 	O2	 27.5 	 28.0 	C37H20O2	H	 497.153667 	 151268880.00 	 151268880.00 	 497.153606 	 -0.0607 	 -0.1220 	 496.5985 	 0.4015 	 -54 	 37 	 20 	 0 	 2 	 0 	 0.5405 	 0.0000 	 0.0541 	 0.0000 
+	 256 	O2	 27.5 	 28.0 	C38H22O2	H	 511.169292 	 104413744.00 	 104413744.00 	 511.169256 	 -0.0356 	 -0.0696 	 510.5985 	 0.4015 	 -54 	 38 	 22 	 0 	 2 	 0 	 0.5789 	 0.0000 	 0.0526 	 0.0000 
+	 257 	O2	 28.5 	 29.0 	C36H16O2	H	 481.122418 	 258908832.00 	 337954272.00 	 481.122306 	 -0.1118 	 -0.2324 	 480.5852 	 0.4148 	 -56 	 36 	 16 	 0 	 2 	 0 	 0.4444 	 0.0000 	 0.0556 	 0.0000 
+	 258 	O2	 28.5 	 29.0 	C37H18O2	H	 495.138075 	 108604528.00 	 108604528.00 	 495.137956 	 -0.1187 	 -0.2398 	 494.5852 	 0.4148 	 -56 	 37 	 18 	 0 	 2 	 0 	 0.4865 	 0.0000 	 0.0541 	 0.0000 
+	 259 	O2	 28.5 	 29.0 	C38H20O2	H	 509.153689 	 188856416.00 	 251425192.00 	 509.153606 	 -0.0827 	 -0.1624 	 508.5852 	 0.4148 	 -56 	 38 	 20 	 0 	 2 	 0 	 0.5263 	 0.0000 	 0.0526 	 0.0000 
+	 260 	O2	 28.5 	 29.0 	C39H22O2	H	 523.169395 	 99173672.00 	 99173672.00 	 523.169256 	 -0.1386 	 -0.2649 	 522.5852 	 0.4148 	 -56 	 39 	 22 	 0 	 2 	 0 	 0.5641 	 0.0000 	 0.0513 	 0.0000 
+	 261 	O2	 28.5 	 29.0 	C40H24O2	H	 537.185023 	 63639920.00 	 63639920.00 	 537.184906 	 -0.1165 	 -0.2169 	 536.5852 	 0.4148 	 -56 	 40 	 24 	 0 	 2 	 0 	 0.6000 	 0.0000 	 0.0500 	 0.0000 
+	 262 	O2	 29.5 	 30.0 	C36H14O2	H	 479.106761 	 63021436.00 	 63021436.00 	 479.106656 	 -0.1049 	 -0.2189 	 478.5718 	 0.4282 	 -58 	 36 	 14 	 0 	 2 	 0 	 0.3889 	 0.0000 	 0.0556 	 0.0000 
+	 263 	O2	 29.5 	 30.0 	C38H18O2	H	 507.138078 	 154678928.00 	 211611144.00 	 507.137956 	 -0.1217 	 -0.2400 	 506.5718 	 0.4282 	 -58 	 38 	 18 	 0 	 2 	 0 	 0.4737 	 0.0000 	 0.0526 	 0.0000 
+	 264 	O2	 29.5 	 30.0 	C39H20O2	H	 521.153758 	 142623568.00 	 200591244.00 	 521.153606 	 -0.1517 	 -0.2910 	 520.5718 	 0.4282 	 -58 	 39 	 20 	 0 	 2 	 0 	 0.5128 	 0.0000 	 0.0513 	 0.0000 
+	 265 	O2	 29.5 	 30.0 	C40H22O2	H	 535.169406 	 133779392.00 	 187310168.00 	 535.169256 	 -0.1496 	 -0.2795 	 534.5718 	 0.4282 	 -58 	 40 	 22 	 0 	 2 	 0 	 0.5500 	 0.0000 	 0.0500 	 0.0000 
+	 266 	O2	 29.5 	 30.0 	C41H24O2	H	 549.184969 	 59071144.00 	 59071144.00 	 549.184906 	 -0.0625 	 -0.1139 	 548.5717 	 0.4283 	 -58 	 41 	 24 	 0 	 2 	 0 	 0.5854 	 0.0000 	 0.0488 	 0.0000 
